frame_index,mode,proposal_count_before_nms,object_count_after_nms,class_distribution,score_min,score_mean,score_max,center_shift_mean,center_shift_p95,size_shift_mean,size_shift_p95,yaw_shift_mean,yaw_shift_p95,score_shift_mean,latency_ms,invalid_box_count
0,original_centerpoint,32,,"{""0"": 5, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 7}",0.09085574001073837,0.5864138603210449,0.9617235660552979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.184203996672295,0
0,mock_zero,32,,"{""0"": 5, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 7}",0.09085574001073837,0.5864138603210449,0.9617235660552979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017502999980933964,0
0,mock_delta,32,,"{""0"": 5, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 7}",0.1008557379245758,0.5964138507843018,0.9717235565185547,0.09999953210353851,0.10000038146972656,0.0,0.0,0.04999998211860657,0.05000019073486328,0.009999992325901985,0.08421500388067216,0
0,student_model,32,,"{""0"": 5, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 7}",0.0,0.581981897354126,1.0,0.24813270568847656,0.40235473960638046,0.3346729874610901,0.5635769993066787,0.15356901288032532,0.3922410130500793,0.13496333360671997,0.20383500668685883,0
0,offline_quantum_teacher,32,,"{""0"": 5, ""1"": 7, ""2"": 4, ""3"": 9, ""4"": 7}",0.111809641122818,0.6085808873176575,0.9833920001983643,0.004756071604788303,0.009151791827753185,0.0025296423118561506,0.0035660777473822233,0.004150740802288055,0.009438157081604004,0.02216704562306404,14.506103005260229,0
1,original_centerpoint,32,,"{""0"": 8, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 4}",0.05112335830926895,0.5361213684082031,0.961398720741272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013002994819544256,0
1,mock_zero,32,,"{""0"": 8, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 4}",0.05112335830926895,0.5361213684082031,0.961398720741272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022603999241255224,0
1,mock_delta,32,,"{""0"": 8, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 4}",0.061123356223106384,0.54612135887146,0.9713987112045288,0.09999967366456985,0.10000038146972656,0.0,0.0,0.04999995231628418,0.05000019073486328,0.00999999325722456,0.04510799772106111,0
1,student_model,32,,"{""0"": 8, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 4}",0.0,0.49811410903930664,1.0,0.2462528944015503,0.3927836433053017,0.3685404062271118,0.6503570079803467,0.11188003420829773,0.2791060924530029,0.1095571368932724,0.1843310019467026,0
1,offline_quantum_teacher,32,,"{""0"": 8, ""1"": 4, ""2"": 7, ""3"": 9, ""4"": 4}",0.07766447961330414,0.5590587258338928,0.9841564893722534,0.0053352853283286095,0.010621396731585265,0.002461436204612255,0.0037374753970652813,0.005292370915412903,0.013324928283691407,0.02293737605214119,7.35066800552886,0
2,original_centerpoint,32,,"{""0"": 8, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 5}",0.07820414006710052,0.528359591960907,0.9706838726997375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098020100267604,0
2,mock_zero,32,,"{""0"": 8, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 5}",0.07820414006710052,0.528359591960907,0.9706838726997375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000992238521576,0
2,mock_delta,32,,"{""0"": 8, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 5}",0.08820413798093796,0.5383595824241638,0.9806838631629944,0.09999944269657135,0.10000038146972656,0.0,0.0,0.04999995976686478,0.05000019073486328,0.009999992325901985,0.040907005313783884,0
2,student_model,32,,"{""0"": 8, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 5}",0.0,0.5383625626564026,1.0,0.2890087962150574,0.5962938040494918,0.32018524408340454,0.48481485247611994,0.16251897811889648,0.3810255765914916,0.08863559365272522,0.09271599992644042,0
2,offline_quantum_teacher,32,,"{""0"": 8, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 5}",0.1020372211933136,0.5510100722312927,0.9925965070724487,0.004873329773545265,0.0127277466468513,0.0026733570266515017,0.0037727461662143465,0.003274098038673401,0.00801063776016235,0.02265051007270813,6.961901002796367,0
3,original_centerpoint,32,,"{""0"": 10, ""1"": 3, ""2"": 2, ""3"": 8, ""4"": 9}",0.08052391558885574,0.49437952041625977,0.9638292193412781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010802003089338541,0
3,mock_zero,32,,"{""0"": 10, ""1"": 3, ""2"": 2, ""3"": 8, ""4"": 9}",0.08052391558885574,0.49437952041625977,0.9638292193412781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008001996320672333,0
3,mock_delta,32,,"{""0"": 10, ""1"": 3, ""2"": 2, ""3"": 8, ""4"": 9}",0.09052391350269318,0.5043795108795166,0.9738292098045349,0.0999995619058609,0.10000038146972656,0.0,0.0,0.04999994486570358,0.05000005960464478,0.009999994188547134,0.04650800838135183,0
